,A,B-1,B-2,C-1,C-2,D,E,F,G,H-1,H-2
GTEX-111CU-0326-SM-5GZXO,-0.821373946263313,0.533646595290398,0.190904516688472,-0.676001939570631,-1.44761882342278,-0.731084762895191,-1.07219614962105,0.722510911169613,0.286061934714628,-2.88838770682471,2.70997673561921
GTEX-111FC-1126-SM-5GZWU,1.11042204669003,-0.566606781052608,0.0733124157742931,0.595446189395823,-0.668031591737416,-0.541353082502722,0.374977425187635,0.873774040346946,-0.547079034198201,-1.83300640180556,2.99241095332983
GTEX-111VG-0726-SM-5GIDC,1.58767937163392,-0.729489887154198,0.696463080524943,0.211468597925843,-1.81621482347591,0.459357148576445,0.187167219209858,0.375697954476289,-0.575376214972416,-2.45146669625928,3.0339567975911
GTEX-111YS-0626-SM-5GZXV,0.0628814950217862,0.752216524581021,-0.458972004297509,0.214474504566631,-0.37273601569024,-0.185955172885301,-0.646108640267843,1.02075911387639,-0.322159728517709,-2.22609827053838,2.89213149355083
GTEX-1122O-0126-SM-5GICA,-1.05764150125076,0.620160681062581,-0.668140172218494,0.207905257582125,-1.74198553482109,0.532898458649724,-0.172399558050303,0.602098043296903,-1.2525094213661,5.50330413439896,-6.47881533479938
GTEX-1128S-0726-SM-5N9D6,1.36764278247038,-0.248219533086885,0.540746039742119,-0.352532328805814,-3.485093371986,0.197894426258937,-0.149072584852707,-0.759894246328674,-0.365914837938787,7.36654441401254,-7.0472741623404
GTEX-117YW-0526-SM-5H11C,-0.337101883648216,-0.886106716027004,0.483344594180827,0.068879485533703,-0.148154529913426,1.03385849589381,1.06439502323586,1.71443902774352,0.123589228208904,-2.17022269349109,3.24699348520838
GTEX-117YX-1326-SM-5H125,-0.931549143381504,0.703844276082791,-0.486561015539458,-0.136931416227356,0.0115887107820649,0.817891291456689,0.274439898717138,0.0579517906054408,-0.35697505258254,-3.07963596932127,2.74809032554756
GTEX-11DXX-0626-SM-5Q5AG,-1.13643869123705,0.506023039794367,-0.788982716463425,-0.398783443835294,-1.95600637108891,0.162302597568738,-1.28360302622128,-0.171399815689045,-0.80217562720344,6.57683009618802,-5.94030766397207
GTEX-11DXZ-0726-SM-5N9C4,-0.761105371284151,0.621680126608999,-0.286989809016992,-1.0448986296437,4.40631722548265,-0.0704692971992411,-0.857010478247195,-1.03237281658506,0.500079174037491,-3.0823849848183,2.88584413536326
GTEX-11DZ1-0426-SM-5H11A,-0.561634512290991,-0.390941867706405,-0.0412729467379891,-0.461285043063685,-0.595264764617205,0.984892366616763,1.1604385610268,0.491123324308812,0.0721357118974614,-3.58576615694476,3.01958471305095
GTEX-11EI6-0826-SM-5985V,-0.643215719637633,-0.71911049253672,0.363080321885469,-0.197763473123327,-1.44704686032232,-0.0556650972354038,-0.356098225490839,0.16327226139132,-0.129029636474732,-2.80204305356556,3.06412750185999
